title,date,link,tag
Coinbase-Led Crypto Ratings Council Plans Transparency Boost as New Members Join,"Jan 16, 2020",/web/20200124070127/https://www.coindesk.com/coinbase-led-crypto-ratings-council-boosts-membership-plans-to-share-asset-rating-framework,Crypto Ratings Council
"Regulated Derivatives Will ‘Legitimize’ Crypto, Says CFTC Chair","Jan 14, 2020",/web/20200124070127/https://www.coindesk.com/regulated-derivatives-will-legitimize-crypto-says-cftc-chair,Regulation
Japan’s Financial Watchdog to Set Low Leverage Cap for Crypto Margin Traders: Report,"Jan 13, 2020",/web/20200124070127/https://www.coindesk.com/japans-financial-watchdog-to-set-low-leverage-cap-for-crypto-margin-traders-report,Margin Trading
ANALYSIS: The Global Game of Coins Heats Up,"Jan 10, 2020",/web/20200124070127/https://www.coindesk.com/analysis-the-global-game-of-coins-heats-up,Podcasts
SEC Seeks $16M From ICOBox for Unregistered Token Sale,"Jan 10, 2020",/web/20200124070127/https://www.coindesk.com/sec-seeks-16m-from-icobox-for-unregistered-token-sale,ICOBox
US Lawmakers Call on Communications Regulator to Tackle SIM-Swapping Crime,"Jan 10, 2020",/web/20200124070127/https://www.coindesk.com/us-lawmakers-call-on-communications-regulator-to-tackle-sim-swapping-crime,Crime
European Crypto Firms Brace for Higher Costs as AMLD5 Takes Effect,"Jan 10, 2020",/web/20200124070127/https://www.coindesk.com/european-crypto-firms-brace-for-higher-costs-as-amld5-takes-effect,Regulation
ESMA Wants to Create ‘Sound Legal Framework’ for Cryptocurrencies in 2020,"Jan 9, 2020",/web/20200124070127/https://www.coindesk.com/esma-wants-to-create-sound-legal-framework-for-cryptocurrencies-in-2020,Regulation
UK Finance Watchdog Warns Against ‘Unauthorized’ Crypto Exchange BitMEX,"Mar 5, 2020",/web/20200312012109/https://www.coindesk.com/uk-finance-watchdog-warns-against-unauthorized-crypto-exchange-bitmex,BitMEX
Crypto Exchange Huobi’s DeFi-Focused Blockchain Released in Public Beta,"Mar 2, 2020",/web/20200312012109/https://www.coindesk.com/crypto-exchange-huobis-defi-focused-blockchain-released-in-public-beta,Huobi
Steven Seagal Settles Token-Touting Charges With SEC Over 2018 ICO,"Feb 27, 2020",/web/20200312012109/https://www.coindesk.com/steven-seagal-settles-token-touting-charges-with-sec-over-2018-ico,SEC
Malta’s Financial Watchdog Highlights Obstacles to Security Tokens After Industry Consultation,"Feb 26, 2020",/web/20200312012109/https://www.coindesk.com/maltas-financial-watchdog-highlights-obstacles-to-security-tokens-after-industry-consultation,Malta
CoolBitX Raises $16.7M to Make Crypto More Bank-Friendly,"Feb 25, 2020",/web/20200312012109/https://www.coindesk.com/coolbitx-raises-16-7m-to-make-crypto-more-bank-friendly,Travel Rule
G-20 Urges Countries to Adopt Tough FATF Rules on Cryptocurrencies,"Feb 24, 2020",/web/20200312012109/https://www.coindesk.com/g20-urges-countries-to-adopt-tough-fatf-rules-on-cryptocurrencies,G-20
‘Crucial’ for Central Banks to Consider Digital Currencies: Bank of England Exec,"Feb 24, 2020",/web/20200312012109/https://www.coindesk.com/crucial-for-central-banks-to-consider-digital-currencies-bank-of-england-exec,CBDCs
"Binance Is Not Under Our Jurisdiction, Says Malta Regulator","Feb 21, 2020",/web/20200312012109/https://www.coindesk.com/binance-is-not-under-our-jurisdiction-says-malta-regulator,Binance
Hester Peirce: Tell Me How to Improve My Safe Harbor Proposal,"Feb 18, 2020",/web/20200312012109/https://www.coindesk.com/hester-peirce-tell-me-how-to-improve-my-safe-harbor-proposal,Regulation
